link_name,occurrence_name,full_path_name,component_name,mesh_file,status
base_link,arm_plate_v2:1,arm_plate_v2:1,arm_plate_v2,arm_plate_v2_1.stl,exported
,DUMMY_DC12:1,"XM,H-430_idler:1+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_1_DUMMY_DC12_1.stl,exported
,"XM,H-430_idler:1","XM,H-430_idler:1","XM,H-430_idler",XM_H-430_idler_1.stl,exported
base_yaw_link,arm_thrustA:1,arm_thrustA:1,arm_thrustA,arm_thrustA_1.stl,exported
base_yaw_link,fr12_s102_k:1,fr12_s102_k:1,fr12_s102_k,fr12_s102_k_1.stl,exported
,DUMMY_DC12:1,"XM,H-430_idler:2+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_2_DUMMY_DC12_1.stl,exported
,"XM,H-430_idler:2","XM,H-430_idler:2","XM,H-430_idler",XM_H-430_idler_2.stl,exported
shoulder_pitch_link,fr12_h101_k:1,fr12_h101_k:1,fr12_h101_k,fr12_h101_k_1.stl,exported
shoulder_pitch_link,arm_part1:1,arm_part1:1,arm_part1,arm_part1_1.stl,exported
,fr12_h101_k:2,fr12_h101_k:2,fr12_h101_k,fr12_h101_k_2.stl,exported
upper_arm_roll_link,DC14_A01_REF:1,2XC-430:1+DC14_A01_REF:1,DC14_A01_REF,2XC-430_1_DC14_A01_REF_1.stl,exported
upper_arm_roll_link,DC11_A01_HORN_REF:1,2XC-430:1+DC11_A01_HORN_REF_ASM:1+DC11_A01_HORN_REF:1,DC11_A01_HORN_REF,2XC-430_1_DC11_A01_HORN_REF_ASM_1_DC11_A01_HORN_REF_1.stl,exported
upper_arm_roll_link,DC11_A01_HORN_REF_ASM:1,2XC-430:1+DC11_A01_HORN_REF_ASM:1,DC11_A01_HORN_REF_ASM,2XC-430_1_DC11_A01_HORN_REF_ASM_1.stl,exported
upper_arm_roll_link,DC11_A01_IDLER_REF:1,2XC-430:1+DC11_A01_IDLER_REF_ASM:1+DC11_A01_IDLER_REF:1,DC11_A01_IDLER_REF,2XC-430_1_DC11_A01_IDLER_REF_ASM_1_DC11_A01_IDLER_REF_1.stl,exported
upper_arm_roll_link,DC11_A01_IDLER_CAP_REF:1,2XC-430:1+DC11_A01_IDLER_REF_ASM:1+DC11_A01_IDLER_CAP_REF:1,DC11_A01_IDLER_CAP_REF,2XC-430_1_DC11_A01_IDLER_REF_ASM_1_DC11_A01_IDLER_CAP_REF_1.stl,exported
upper_arm_roll_link,DC11_A01_IDLER_SCREW:1,2XC-430:1+DC11_A01_IDLER_REF_ASM:1+DC11_A01_IDLER_SCREW:1,DC11_A01_IDLER_SCREW,2XC-430_1_DC11_A01_IDLER_REF_ASM_1_DC11_A01_IDLER_SCREW_1.stl,exported
upper_arm_roll_link,DC11_A01_HORN_REF:1,2XC-430:1+DC11_A01_HORN_REF_ASM:2+DC11_A01_HORN_REF:1,DC11_A01_HORN_REF,2XC-430_1_DC11_A01_HORN_REF_ASM_2_DC11_A01_HORN_REF_1.stl,exported
upper_arm_roll_link,DC11_A01_HORN_REF_ASM:2,2XC-430:1+DC11_A01_HORN_REF_ASM:2,DC11_A01_HORN_REF_ASM,2XC-430_1_DC11_A01_HORN_REF_ASM_2.stl,exported
upper_arm_roll_link,DC11_A01_IDLER_REF:1,2XC-430:1+DC11_A01_IDLER_REF_ASM:2+DC11_A01_IDLER_REF:1,DC11_A01_IDLER_REF,2XC-430_1_DC11_A01_IDLER_REF_ASM_2_DC11_A01_IDLER_REF_1.stl,exported
upper_arm_roll_link,DC11_A01_IDLER_CAP_REF:1,2XC-430:1+DC11_A01_IDLER_REF_ASM:2+DC11_A01_IDLER_CAP_REF:1,DC11_A01_IDLER_CAP_REF,2XC-430_1_DC11_A01_IDLER_REF_ASM_2_DC11_A01_IDLER_CAP_REF_1.stl,exported
upper_arm_roll_link,DC11_A01_IDLER_SCREW:1,2XC-430:1+DC11_A01_IDLER_REF_ASM:2+DC11_A01_IDLER_SCREW:1,DC11_A01_IDLER_SCREW,2XC-430_1_DC11_A01_IDLER_REF_ASM_2_DC11_A01_IDLER_SCREW_1.stl,exported
upper_arm_roll_link,2XC-430:1,2XC-430:1,2XC-430,2XC-430_1.stl,exported
upper_arm_link,arm_thrustC:1,arm_thrustC:1,arm_thrustC,arm_thrustC_1.stl,exported
upper_arm_link,arm_thrustB:1,arm_thrustB:1,arm_thrustB,arm_thrustB_1.stl,exported
upper_arm_link,fr12_s102_k:2,fr12_s102_k:2,fr12_s102_k,fr12_s102_k_2.stl,exported
forearm_link,DC11_B01_CASE_M_DUMMY:1,XC-430_idle:1+DC11_B01_CASE_M_DUMMY:1,DC11_B01_CASE_M_DUMMY,XC-430_idle_1_DC11_B01_CASE_M_DUMMY_1.stl,exported
forearm_link,DC11_B01_CASE_F_DUMMY:1,XC-430_idle:1+DC11_B01_CASE_F_DUMMY:1,DC11_B01_CASE_F_DUMMY,XC-430_idle_1_DC11_B01_CASE_F_DUMMY_1.stl,exported
forearm_link,DC11_B01_CASE_B_DUMMY2:1,XC-430_idle:1+DC11_B01_CASE_B_DUMMY2:1,DC11_B01_CASE_B_DUMMY2,XC-430_idle_1_DC11_B01_CASE_B_DUMMY2_1.stl,exported
forearm_link,M_DC11_A01_IDLER:1,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+M_DC11_A01_IDLER:1,M_DC11_A01_IDLER,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_M_DC11_A01_IDLER_1.stl,exported
forearm_link,DC11_A01_HORN_INSERT_1:1,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:1,DC11_A01_HORN_INSERT_1,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_1.stl,exported
forearm_link,M_DC11_A01_IDLER_CAP:1,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+M_DC11_A01_IDLER_CAP:1,M_DC11_A01_IDLER_CAP,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_M_DC11_A01_IDLER_CAP_1.stl,exported
forearm_link,DC11_A01_IDLER_SCREW:1,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_IDLER_SCREW:1,DC11_A01_IDLER_SCREW,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_IDLER_SCREW_1.stl,exported
forearm_link,DC11_A01_HORN_INSERT_1:2,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:2,DC11_A01_HORN_INSERT_1,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_2.stl,exported
forearm_link,DC11_A01_HORN_INSERT_1:3,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:3,DC11_A01_HORN_INSERT_1,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_3.stl,exported
forearm_link,DC11_A01_HORN_INSERT_1:4,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:4,DC11_A01_HORN_INSERT_1,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_4.stl,exported
forearm_link,M_DC11_A01_HORN:1,XC-430_idle:1+M_DC11_A01_HORN_ASM:1+M_DC11_A01_HORN:1,M_DC11_A01_HORN,XC-430_idle_1_M_DC11_A01_HORN_ASM_1_M_DC11_A01_HORN_1.stl,exported
forearm_link,M_DC11_A01_HORN_ASM:1,XC-430_idle:1+M_DC11_A01_HORN_ASM:1,M_DC11_A01_HORN_ASM,XC-430_idle_1_M_DC11_A01_HORN_ASM_1.stl,exported
forearm_link,XC-430_idle:1,XC-430_idle:1,XC-430_idle,XC-430_idle_1.stl,exported
forearm_link,arm_hand_v2:1,arm_hand_v2:1,arm_hand_v2,arm_hand_v2_1.stl,exported
forearm_link,fr12_h101_k:3,fr12_h101_k:3,fr12_h101_k,fr12_h101_k_3.stl,exported
wrist_pitch_link,DC11_B01_CASE_M_DUMMY:1,XC-430_idle:2+DC11_B01_CASE_M_DUMMY:1,DC11_B01_CASE_M_DUMMY,XC-430_idle_2_DC11_B01_CASE_M_DUMMY_1.stl,exported
wrist_pitch_link,DC11_B01_CASE_F_DUMMY:1,XC-430_idle:2+DC11_B01_CASE_F_DUMMY:1,DC11_B01_CASE_F_DUMMY,XC-430_idle_2_DC11_B01_CASE_F_DUMMY_1.stl,exported
wrist_pitch_link,DC11_B01_CASE_B_DUMMY2:1,XC-430_idle:2+DC11_B01_CASE_B_DUMMY2:1,DC11_B01_CASE_B_DUMMY2,XC-430_idle_2_DC11_B01_CASE_B_DUMMY2_1.stl,exported
wrist_pitch_link,M_DC11_A01_IDLER:1,XC-430_idle:2+M_DC11_A01_IDLER_ASM:1+M_DC11_A01_IDLER:1,M_DC11_A01_IDLER,XC-430_idle_2_M_DC11_A01_IDLER_ASM_1_M_DC11_A01_IDLER_1.stl,exported
wrist_pitch_link,DC11_A01_HORN_INSERT_1:1,XC-430_idle:2+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:1,DC11_A01_HORN_INSERT_1,XC-430_idle_2_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_1.stl,exported
wrist_pitch_link,M_DC11_A01_IDLER_CAP:1,XC-430_idle:2+M_DC11_A01_IDLER_ASM:1+M_DC11_A01_IDLER_CAP:1,M_DC11_A01_IDLER_CAP,XC-430_idle_2_M_DC11_A01_IDLER_ASM_1_M_DC11_A01_IDLER_CAP_1.stl,exported
wrist_pitch_link,DC11_A01_IDLER_SCREW:1,XC-430_idle:2+M_DC11_A01_IDLER_ASM:1+DC11_A01_IDLER_SCREW:1,DC11_A01_IDLER_SCREW,XC-430_idle_2_M_DC11_A01_IDLER_ASM_1_DC11_A01_IDLER_SCREW_1.stl,exported
wrist_pitch_link,DC11_A01_HORN_INSERT_1:2,XC-430_idle:2+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:2,DC11_A01_HORN_INSERT_1,XC-430_idle_2_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_2.stl,exported
