occurrence_name,full_path_name,component_name,mesh_file,status,origin_x_cm,origin_y_cm,origin_z_cm,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
arm_plate_v2:1,arm_plate_v2:1,arm_plate_v2,arm_plate_v2_1.stl,exported,-7.5,-4.13,0.0,1.0,0.0,0.0,-7.5,0.0,1.0,0.0,-4.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DUMMY_DC12:1,"XM,H-430_idler:1+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_1_DUMMY_DC12_1.stl,exported,0.015000000000039038,-0.005000000000026539,2.1999999999999784,-0.9999999999999747,5.967448757360611e-16,-2.0488415870939166e-15,0.015000000000039038,-3.306024024631534e-29,-0.9999999999999827,1.1196382932960546e-14,-0.005000000000026539,-2.9524993561124705e-15,-1.5777218104420012e-30,0.9999999999999882,2.1999999999999784,0.0,0.0,0.0,1.0
"XM,H-430_idler:1","XM,H-430_idler:1","XM,H-430_idler",XM_H-430_idler_1.stl,exported,0.0,0.0,21.000000000000004,-1.0000000000000009,-1.6653345369377348e-16,0.0,0.0,1.6653345369377348e-16,-1.0000000000000009,0.0,0.0,0.0,0.0,1.0,21.000000000000004,0.0,0.0,0.0,1.0
arm_thrustA:1,arm_thrustA:1,arm_thrustA,arm_thrustA_1.stl,exported,-4.4323880870946343e-32,9.528630932817489e-32,5.500000000000001,-1.000000000000013,-2.0122792321330962e-16,-6.111804911901546e-17,-4.4323880870946343e-32,-1.1102230246251565e-16,1.0000000000000164,3.739455666536251e-18,9.528630932817489e-32,1.215213013337033e-17,-6.022251350620375e-16,-1.000000000000066,5.500000000000001,0.0,0.0,0.0,1.0
fr12_s102_k:1,fr12_s102_k:1,fr12_s102_k,fr12_s102_k_1.stl,exported,2.5670581734544432e-14,1.0955481798976955e-14,7.450000000000127,-1.0000000000000282,6.751543768501733e-15,-8.841099370763251e-16,2.5670581734544432e-14,-1.1102230246251564e-16,1.000000000000034,5.409351184628142e-17,1.0955481798976955e-14,2.0449274989922337e-15,-9.031861668719648e-15,-1.0000000000000693,7.450000000000127,0.0,0.0,0.0,1.0
DUMMY_DC12:1,"XM,H-430_idler:2+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_2_DUMMY_DC12_1.stl,exported,7.669838486423279e-15,1.5773724876257003e-14,9.550000000000294,2.220446049250318e-16,2.044927498992227e-15,1.0000000000000382,7.669838486423279e-15,1.0000000000000386,7.138828111088554e-18,1.0408340855860817e-16,1.5773724876257003e-14,-7.13882811110586e-18,1.0000000000000722,-2.0449274989922554e-15,9.550000000000294,0.0,0.0,0.0,1.0
"XM,H-430_idler:2","XM,H-430_idler:2","XM,H-430_idler",XM_H-430_idler_2.stl,exported,2.6327553821857217,-4.761636344066059,6.311343426740556,-1.887379141862766e-15,-4.052314039881822e-15,1.0000000000000004,2.6327553821857217,1.0000000000000002,2.220446049250294e-16,1.8735013540549517e-15,-4.761636344066059,-2.220446049250382e-16,1.0000000000000002,4.052314039881818e-15,6.311343426740556,0.0,0.0,0.0,1.0
fr12_h101_k:1,fr12_h101_k:1,fr12_h101_k,fr12_h101_k_1.stl,exported,4.364056045789294e-15,1.7603269102800523e-14,9.54500000000029,1.0000000000000402,2.6949953437444314e-16,-1.630129939676207e-15,4.364056045789294e-15,1.1792827253344801e-16,-6.952771691715043e-15,-1.0000000000000373,1.7603269102800523e-14,-2.0439721268360252e-15,1.0000000000000702,1.8041124150158794e-16,9.54500000000029,0.0,0.0,0.0,1.0
arm_part1:1,arm_part1:1,arm_part1,arm_part1_1.stl,exported,-2.0500000000000744,1.19999999999999,17.74500000000088,-2.6949953437444314e-16,1.0000000000000346,1.1454162556839908e-15,-2.0500000000000744,6.952771691715043e-15,1.7916061249081088e-16,-1.0000000000000286,1.19999999999999,-1.0000000000000702,-1.196933502822947e-15,-6.938893903907228e-17,17.74500000000088,0.0,0.0,0.0,1.0
fr12_h101_k:2,fr12_h101_k:2,fr12_h101_k,fr12_h101_k_2.stl,exported,-1.790234627208065e-15,-6.006306563222097e-14,20.545000000001075,1.000000000000035,-2.6949953437444373e-16,-1.0841839157266254e-15,-1.790234627208065e-15,1.5307788336743329e-15,6.952771691715043e-15,1.0000000000000322,-6.006306563222097e-14,-1.286058921810616e-16,-1.0000000000000722,7.494005416219807e-16,20.545000000001075,0.0,0.0,0.0,1.0
