occurrence_name,full_path_name,component_name,mesh_file,status,origin_x_cm,origin_y_cm,origin_z_cm,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
arm_plate_v2:1,arm_plate_v2:1,arm_plate_v2,arm_plate_v2_1.stl,exported,-7.5,-4.13,0.0,1.0,0.0,0.0,-7.5,0.0,1.0,0.0,-4.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DUMMY_DC12:1,"XM,H-430_idler:1+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_1_DUMMY_DC12_1.stl,exported,0.015000000000039038,-0.005000000000026539,2.1999999999999784,-0.9999999999999747,5.967448757360611e-16,-2.0488415870939166e-15,0.015000000000039038,-3.306024024631534e-29,-0.9999999999999827,1.1196382932960546e-14,-0.005000000000026539,-2.9524993561124705e-15,-1.5777218104420012e-30,0.9999999999999882,2.1999999999999784,0.0,0.0,0.0,1.0
"XM,H-430_idler:1","XM,H-430_idler:1","XM,H-430_idler",XM_H-430_idler_1.stl,exported,0.0,0.0,21.000000000000004,-1.0000000000000009,-1.6653345369377348e-16,0.0,0.0,1.6653345369377348e-16,-1.0000000000000009,0.0,0.0,0.0,0.0,1.0,21.000000000000004,0.0,0.0,0.0,1.0
arm_thrustA:1,arm_thrustA:1,arm_thrustA,arm_thrustA_1.stl,exported,5.437815095537413e-32,8.782713667980585e-34,5.500000000000001,-1.00000000000001,-1.1796119636642288e-16,-6.122435509492987e-17,5.437815095537413e-32,-1.214306433183765e-16,1.0000000000000095,-9.888456500604781e-19,8.782713667980585e-34,6.12243550949303e-17,-9.888456500603348e-19,-1.0000000000000142,5.500000000000001,0.0,0.0,0.0,1.0
fr12_s102_k:1,fr12_s102_k:1,fr12_s102_k,fr12_s102_k_1.stl,exported,1.173101532713107e-15,3.1545915592650023e-16,7.450000000000027,-1.0000000000000087,-1.249000902703301e-16,-4.08083248778869e-16,1.173101532713107e-15,-1.249000902703301e-16,1.0000000000000095,-6.591026476176798e-18,3.1545915592650023e-16,4.080832487788718e-16,-6.591026476176602e-18,-1.0000000000000129,7.450000000000027,0.0,0.0,0.0,1.0
DUMMY_DC12:1,"XM,H-430_idler:2+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_2_DUMMY_DC12_1.stl,exported,-1.2113704940069414e-15,7.14149758056711e-16,9.550000000000058,-1.3183898417423734e-16,4.080832487788651e-16,1.0000000000000102,-1.2113704940069414e-15,1.00000000000001,6.782336643354509e-17,1.1796119636642288e-16,7.14149758056711e-16,-6.782336643354614e-17,1.000000000000014,-4.080832487788723e-16,9.550000000000058,0.0,0.0,0.0,1.0
"XM,H-430_idler:2","XM,H-430_idler:2","XM,H-430_idler",XM_H-430_idler_2.stl,exported,2.6327553821857217,-4.761636344066059,6.311343426740556,-1.887379141862766e-15,-4.052314039881822e-15,1.0000000000000004,2.6327553821857217,1.0000000000000002,2.220446049250294e-16,1.8735013540549517e-15,-4.761636344066059,-2.220446049250382e-16,1.0000000000000002,4.052314039881818e-15,6.311343426740556,0.0,0.0,0.0,1.0
fr12_h101_k:1,fr12_h101_k:1,fr12_h101_k,fr12_h101_k_1.stl,exported,9.969804794012979e-15,1.3042952135000618e-15,9.545000000000062,1.0000000000000044,3.971329036758465e-16,1.6961796492630644e-16,9.969804794012979e-15,1.1796119636642288e-16,-2.942091015256665e-15,-0.999999999999996,1.3042952135000618e-15,-4.0808324877886987e-16,1.0000000000000204,1.6653345369377348e-16,9.545000000000062,0.0,0.0,0.0,1.0
arm_thrustB:1,arm_thrustB:1,arm_thrustB,arm_thrustB_1.stl,exported,3.730349362740526e-14,8.881784197001252e-16,28.269999999999996,1.0,2.220446049250313e-16,-9.353628982466939e-15,3.730349362740526e-14,2.2204460492501395e-16,-0.9999999999999996,-1.817990202823676e-15,8.881784197001252e-16,-9.353628982466944e-15,1.817990202823674e-15,-0.9999999999999996,28.269999999999996,0.0,0.0,0.0,1.0
fr12_s102_k:2,fr12_s102_k:2,fr12_s102_k,fr12_s102_k_2.stl,exported,5.595524044110789e-14,7.105427357601002e-15,30.219999999999995,1.0,2.220446049250329e-16,-9.353628982466955e-15,5.595524044110789e-14,2.2204460492501395e-16,-1.000000000000001,-1.8179902028236796e-15,7.105427357601002e-15,-9.353628982466944e-15,1.8179902028236777e-15,-1.000000000000001,30.219999999999995,0.0,0.0,0.0,1.0
