time_s,frame,found,landmark,pixel_x,pixel_y,target_y_mm,target_z_mm
0.022,1,1,wrist,360,441,-132.000,49.300
0.076,2,1,wrist,362,436,-131.650,50.175
0.085,3,1,wrist,362,433,-131.388,51.356
0.093,4,1,wrist,363,429,-131.016,52.942
0.101,5,1,wrist,363,427,-130.737,54.482
0.108,6,1,wrist,360,424,-131.053,56.161
0.115,7,1,wrist,360,421,-131.289,57.946
0.122,8,1,wrist,359,419,-131.642,59.634
0.129,9,1,wrist,358,418,-132.082,61.076
0.136,10,1,wrist,358,419,-132.411,61.982
0.143,11,1,wrist,359,418,-132.483,62.836
0.151,12,1,wrist,357,417,-132.888,63.652
0.158,13,1,wrist,357,418,-133.191,64.089
0.165,14,1,wrist,357,417,-133.418,64.592
0.172,15,1,wrist,357,417,-133.588,64.969
0.179,16,1,wrist,358,417,-133.541,65.252
0.186,17,1,wrist,358,417,-133.506,65.464
0.193,18,1,wrist,359,418,-133.305,65.448
0.200,19,1,wrist,359,418,-133.153,65.436
0.207,20,1,wrist,359,418,-133.040,65.427
0.214,21,1,wrist,359,418,-132.955,65.420
0.222,22,1,wrist,359,418,-132.891,65.415
0.229,23,1,wrist,359,418,-132.843,65.411
0.236,24,1,wrist,359,418,-132.808,65.409
0.242,25,1,wrist,359,418,-132.781,65.406
0.249,26,1,wrist,359,418,-132.761,65.405
0.256,27,1,wrist,359,418,-132.745,65.404
0.263,28,1,wrist,359,418,-132.734,65.403
0.270,29,1,wrist,359,418,-132.726,65.402
0.277,30,1,wrist,359,418,-132.719,65.402
0.284,31,1,wrist,359,418,-132.714,65.401
0.291,32,1,wrist,359,418,-132.711,65.401
0.298,33,1,wrist,359,418,-132.708,65.401
0.305,34,1,wrist,359,418,-132.706,65.400
0.311,35,1,wrist,359,418,-132.705,65.400
0.319,36,1,wrist,359,418,-132.703,65.400
0.326,37,1,wrist,359,418,-132.703,65.400
0.333,38,1,wrist,359,418,-132.702,65.400
0.340,39,1,wrist,359,418,-132.701,65.400
0.347,40,1,wrist,359,418,-132.701,65.400
0.353,41,1,wrist,359,418,-132.701,65.400
0.361,42,1,wrist,359,418,-132.701,65.400
0.368,43,1,wrist,359,418,-132.700,65.400
0.375,44,1,wrist,359,418,-132.700,65.400
0.382,45,1,wrist,359,418,-132.700,65.400
0.389,46,1,wrist,359,418,-132.700,65.400
0.396,47,1,wrist,359,418,-132.700,65.400
0.403,48,1,wrist,359,418,-132.700,65.400
0.410,49,1,wrist,359,418,-132.700,65.400
0.417,50,1,wrist,359,418,-132.700,65.400
0.424,51,1,wrist,359,418,-132.700,65.400
0.431,52,1,wrist,359,418,-132.700,65.400
0.438,53,1,wrist,359,418,-132.700,65.400
0.444,54,1,wrist,359,418,-132.700,65.400
0.451,55,1,wrist,359,418,-132.700,65.400
0.458,56,1,wrist,359,418,-132.700,65.400
0.465,57,1,wrist,359,418,-132.700,65.400
0.472,58,1,wrist,359,418,-132.700,65.400
0.479,59,1,wrist,359,418,-132.700,65.400
0.485,60,1,wrist,359,418,-132.700,65.400
0.492,61,1,wrist,359,418,-132.700,65.400
0.499,62,1,wrist,359,418,-132.700,65.400
0.506,63,1,wrist,359,418,-132.700,65.400
0.513,64,1,wrist,359,418,-132.700,65.400
0.520,65,1,wrist,359,418,-132.700,65.400
0.527,66,1,wrist,359,418,-132.700,65.400
0.534,67,1,wrist,359,418,-132.700,65.400
0.541,68,1,wrist,359,418,-132.700,65.400
0.547,69,1,wrist,359,418,-132.700,65.400
0.554,70,1,wrist,359,418,-132.700,65.400
0.561,71,1,wrist,359,418,-132.700,65.400
0.568,72,1,wrist,358,418,-132.875,65.400
0.574,73,1,wrist,359,418,-132.831,65.400
0.581,74,1,wrist,359,418,-132.798,65.400
0.588,75,1,wrist,359,418,-132.774,65.400
0.595,76,1,wrist,359,418,-132.755,65.400
0.602,77,1,wrist,359,418,-132.742,65.400
0.609,78,1,wrist,359,418,-132.731,65.400
0.615,79,1,wrist,359,418,-132.723,65.400
0.622,80,1,wrist,359,418,-132.718,65.400
0.629,81,0,wrist,,,,
0.641,82,1,wrist,362,353,-132.188,76.775
0.649,83,1,wrist,362,343,-131.791,87.056
0.656,84,1,wrist,361,336,-131.668,95.992
0.663,85,1,wrist,359,334,-131.926,103.044
0.670,86,1,wrist,357,332,-132.470,108.683
0.677,87,1,wrist,354,336,-133.402,112.212
0.684,88,1,wrist,352,339,-134.452,114.334
0.691,89,1,wrist,350,343,-135.589,115.226
0.698,90,1,wrist,349,346,-136.617,115.369
0.705,91,1,wrist,347,346,-137.737,115.477
0.712,92,1,wrist,345,347,-138.928,115.383
0.719,93,1,wrist,345,346,-139.821,115.487
0.725,94,1,wrist,343,348,-140.841,115.215
0.732,95,1,wrist,344,349,-141.431,114.836
0.739,96,1,wrist,344,349,-141.873,114.552
0.746,97,1,wrist,346,348,-141.855,114.514
0.753,98,1,wrist,347,349,-141.666,114.311
0.760,99,1,wrist,345,349,-141.875,114.158
0.767,100,1,wrist,346,349,-141.856,114.044
0.774,101,1,wrist,347,349,-141.667,113.958
0.795,102,1,wrist,347,350,-141.525,113.718
0.829,103,1,wrist,349,349,-141.069,113.714
0.877,104,1,wrist,350,349,-140.552,113.710
0.934,105,1,wrist,348,349,-140.514,113.708
0.960,106,1,wrist,347,350,-140.660,113.531
1.003,107,1,wrist,346,349,-140.945,113.573
1.048,108,1,wrist,346,349,-141.159,113.605
1.098,109,1,wrist,346,350,-141.319,113.454
1.139,110,1,wrist,347,349,-141.264,113.515
1.173,111,1,wrist,345,348,-141.573,113.736
1.220,112,1,wrist,344,349,-141.980,113.727
1.306,113,1,wrist,341,347,-142.810,114.070
1.314,114,1,wrist,342,348,-143.257,114.153
1.354,115,1,wrist,341,347,-143.768,114.390
1.403,116,1,wrist,342,347,-143.976,114.567
1.438,117,1,wrist,343,348,-143.957,114.525
1.486,118,1,wrist,347,347,-143.243,114.669
1.533,119,1,wrist,347,348,-142.707,114.602
1.568,120,1,wrist,349,349,-141.955,114.376
1.635,121,1,wrist,350,349,-141.216,114.207
1.661,122,1,wrist,350,351,-140.662,113.730
1.697,123,1,wrist,350,351,-140.247,113.373
1.742,124,1,wrist,349,350,-140.110,113.280
1.789,125,1,wrist,347,351,-140.358,113.035
1.839,126,1,wrist,347,350,-140.543,113.026
1.874,127,1,wrist,348,350,-140.507,113.020
1.918,128,1,wrist,344,349,-141.181,113.190
1.965,129,1,wrist,343,348,-141.860,113.492
2.000,130,1,wrist,345,347,-142.020,113.894
2.047,131,1,wrist,347,347,-141.790,114.196
2.093,132,1,wrist,348,349,-141.443,114.072
2.134,133,1,wrist,348,349,-141.182,113.979
2.172,134,1,wrist,347,350,-141.162,113.734
2.221,135,1,wrist,349,349,-140.796,113.726
2.256,136,1,wrist,348,349,-140.697,113.719
2.306,137,1,wrist,348,350,-140.623,113.539
2.350,138,1,wrist,348,351,-140.567,113.230
2.394,139,1,wrist,346,351,-140.875,112.997
2.438,140,1,wrist,345,350,-141.282,112.998
2.475,141,1,wrist,345,350,-141.586,112.998
2.523,142,1,wrist,346,350,-141.640,112.999
2.570,143,1,wrist,346,349,-141.680,113.174
2.611,144,1,wrist,345,350,-141.885,113.131
2.658,145,1,wrist,346,350,-141.864,113.098
2.697,146,1,wrist,345,351,-142.023,112.898
2.740,147,1,wrist,343,352,-142.492,112.574
2.775,148,1,wrist,344,350,-142.669,112.680
2.819,149,1,wrist,344,349,-142.802,112.935
2.863,150,1,wrist,343,350,-143.076,112.951
2.908,151,1,wrist,342,350,-143.457,112.964
2.955,152,1,wrist,342,350,-143.743,112.973
2.991,153,1,wrist,342,348,-143.957,113.330
3.037,154,1,wrist,344,349,-143.768,113.422
3.083,155,1,wrist,346,348,-143.276,113.667
3.130,156,1,wrist,346,348,-142.907,113.850
3.167,157,1,wrist,347,347,-142.455,114.162
3.213,158,1,wrist,347,348,-142.116,114.222
3.263,159,1,wrist,347,349,-141.862,114.091
3.306,160,1,wrist,348,348,-141.497,114.169
3.340,161,1,wrist,348,348,-141.223,114.226
3.390,162,1,wrist,349,348,-140.842,114.270
3.437,163,1,wrist,348,348,-140.731,114.302
3.472,164,1,wrist,346,348,-140.999,114.327
3.520,165,1,wrist,344,349,-141.549,114.170
3.555,166,1,wrist,343,348,-142.137,114.228
3.599,167,1,wrist,342,348,-142.753,114.271
