episode,steps,reward,distance_mm,success,epsilon
1,80,-56.510903,57.969825,0,0.950000
2,80,-61.878259,74.005940,0,0.945506
3,80,-41.068310,77.941832,0,0.941034
4,80,-46.503379,68.636736,0,0.936584
5,80,-45.746065,85.878796,0,0.932157
6,80,-59.581717,101.134200,0,0.927751
7,80,-52.350696,76.354517,0,0.923368
8,44,-1.266174,5.731906,1,0.919007
9,80,-86.098490,128.912480,0,0.914667
10,80,-46.782871,100.945004,0,0.910349
11,80,-40.157733,67.094212,0,0.906053
12,80,-63.636328,75.689882,0,0.901778
13,22,7.518642,4.879316,1,0.897524
14,80,-72.409531,150.853411,0,0.893292
15,80,-85.357080,174.146927,0,0.889081
16,48,-0.546940,7.230093,1,0.884891
17,80,-32.184557,49.008823,0,0.880722
18,80,-34.890308,58.548327,0,0.876573
19,80,-84.362636,139.429130,0,0.872445
20,14,8.560285,4.879316,1,0.868338
21,80,-57.442727,127.468894,0,0.864252
22,80,-53.964291,128.075140,0,0.860186
23,80,-72.187310,102.724578,0,0.856140
24,80,-61.350053,133.317568,0,0.852114
25,80,-46.575208,89.095530,0,0.848109
26,24,7.166832,7.230093,1,0.844123
27,80,-36.535202,51.400543,0,0.840157
28,80,-97.859809,168.964887,0,0.836211
29,80,-31.330536,32.986108,0,0.832285
30,80,-29.554028,30.560008,0,0.828379
31,44,1.277326,4.879316,1,0.824492
32,80,-66.909110,137.156322,0,0.820624
33,11,9.837111,6.107110,1,0.816776
34,17,9.194872,4.066264,1,0.812947
35,34,2.130219,7.683461,1,0.809137
36,28,3.064401,5.731906,1,0.805346
37,80,-96.294300,151.641495,0,0.801574
38,80,-95.427801,145.113774,0,0.797821
39,80,-40.410988,77.564133,0,0.794086
40,26,3.351870,7.230093,1,0.790370
41,16,9.008931,7.230093,1,0.786673
42,24,6.215208,7.230093,1,0.782994
43,14,9.438510,4.879316,1,0.779334
44,80,-78.461830,117.705516,0,0.775692
45,10,9.932960,7.230093,1,0.772068
46,6,11.279358,4.879316,1,0.768462
47,80,-22.637666,18.832194,0,0.764874
48,12,9.633223,4.879316,1,0.761305
49,10,10.161694,4.879316,1,0.757752
50,10,10.400123,4.879316,1,0.754218
51,80,-75.415792,100.108620,0,0.750701
52,80,-51.714855,102.491191,0,0.747202
53,48,0.344215,7.230093,1,0.743721
54,36,4.574119,7.683461,1,0.740256
55,21,7.989537,7.995227,1,0.736809
56,80,-72.917941,125.254795,0,0.733380
57,9,10.436720,6.107110,1,0.729967
58,69,-10.691985,4.066264,1,0.726571
59,12,9.453741,7.683461,1,0.723193
60,66,-8.759638,7.230093,1,0.719831
61,10,10.483082,4.879316,1,0.716486
62,18,7.585771,7.683461,1,0.713158
63,80,-120.633839,184.706499,0,0.709846
64,80,-25.535261,26.148448,0,0.706551
65,80,-25.965124,58.644189,0,0.703272
66,80,-62.695222,88.344759,0,0.700010
67,20,7.793160,7.230093,1,0.696764
68,51,-2.976923,4.066264,1,0.693534
69,80,-22.920973,14.715505,0,0.690321
70,40,3.591587,4.879316,1,0.687123
71,28,5.465204,4.879316,1,0.683942
72,53,-2.275858,7.995227,1,0.680776
73,34,4.428371,7.230093,1,0.677626
74,15,8.147436,7.995227,1,0.674492
75,80,-67.370522,121.968723,0,0.671373
76,38,0.129182,7.230093,1,0.668270
77,78,-19.396536,7.230093,1,0.665183
78,9,10.063261,4.066264,1,0.662111
79,16,7.921388,4.879316,1,0.659054
80,80,-65.216220,128.829796,0,0.656012
81,64,-4.938827,4.879316,1,0.652986
82,13,8.953884,4.066264,1,0.649975
83,12,9.486330,7.230093,1,0.646979
84,80,-63.901504,149.920971,0,0.643998
85,50,-0.647522,4.879316,1,0.641031
86,24,6.185836,7.230093,1,0.638080
87,8,10.430186,4.879316,1,0.635143
88,15,7.949854,6.107110,1,0.632221
89,12,9.702486,4.879316,1,0.629314
90,23,4.261701,6.107110,1,0.626421
91,50,1.345589,7.230093,1,0.623542
92,6,11.088069,7.683461,1,0.620678
93,19,8.889421,6.107110,1,0.617828
94,44,-0.256238,4.879316,1,0.614993
95,7,11.152628,4.066264,1,0.612171
96,10,9.433245,7.230093,1,0.609364
97,35,3.793312,6.107110,1,0.606571
98,14,9.412254,7.230093,1,0.603791
99,18,7.466665,7.230093,1,0.601026
