#{"t_start": 1781192784.7854083, "env_id": "None"}
r,l,t,distance_mm,is_success
-103.211404,80,0.527483,51.03911483222093,False
-72.634162,80,0.53853,90.78815076795202,False
-83.850574,80,0.549338,88.92406996640962,False
-68.693273,80,0.560409,95.75477553608465,False
-35.071378,80,0.571279,33.304641251675704,False
-64.215007,80,0.582183,108.09666206788017,False
-32.991937,79,0.592967,7.5862176130315015,True
-64.756958,80,0.603766,88.85687711072833,False
-64.992225,80,0.614675,49.18336347794699,False
-52.124651,80,0.625552,128.11504114862365,False
-59.206988,80,0.636472,94.54728331593762,False
-51.517174,80,0.647393,69.7325257615556,False
-43.142188,80,0.856925,76.10731158998077,False
-39.981562,80,0.868486,34.76321785716562,False
-102.141911,80,0.879548,98.11092608381006,False
1.668098,38,0.884889,4.843726943298128,True
-97.967583,80,0.896402,107.01837338281659,False
-55.39794,80,0.907256,53.19378409087034,False
-37.77808,80,0.918106,22.116822980390655,False
-62.006989,80,0.92894,64.24762147152903,False
-74.48657,80,0.939705,108.6673365245768,False
-37.489979,80,0.950401,41.74508815983928,False
-44.604797,80,0.961063,30.107431540542755,False
-33.161113,80,0.971775,61.07925018780443,False
-28.6265,80,0.982475,44.78005930445425,False
-62.206605,80,0.993201,107.03836617034442,False
-33.977975,80,1.071725,61.62049115672585,False
-7.258972,67,1.080967,7.500291754568865,True
-44.835137,80,1.091888,33.86183119519064,False
7.091552,26,1.09557,6.100509398675658,True
-40.502094,80,1.106782,22.594484491939415,False
-34.399697,80,1.117731,18.898380249559413,False
-63.035429,80,1.128639,75.85057532635982,False
-49.740016,80,1.139534,70.52657896095086,False
-11.108031,61,1.147809,7.20518446508347,True
-42.314342,80,1.158515,38.39309013822439,False
-35.85384,80,1.169259,17.920341990387094,False
-1.776815,44,1.17522,5.090854546695355,True
6.35811,26,1.178777,5.888577874813638,True
-10.45433,73,1.188528,2.1336228394921295,True
-49.83345,80,1.199207,48.679691844394725,False
-38.531723,80,1.27527,27.14753558810499,False
-46.416176,80,1.286098,51.9674867531654,False
-24.41344,80,1.296863,25.751499153629336,False
12.767431,10,1.298363,5.85516942684853,True
5.770986,36,1.303245,7.774425514606397,True
12.534552,11,1.304821,5.44801920428257,True
-8.922699,68,1.314907,6.149487120292708,True
13.344459,13,1.316749,5.358848437681881,True
4.307457,29,1.320665,6.625576202849195,True
3.763527,42,1.326352,7.607547702703094,True
1.401502,45,1.332379,6.187920994871739,True
3.399091,46,1.338618,5.423358864952304,True
-31.618892,80,1.349448,32.57079483173246,False
11.531059,10,1.350968,5.766271878124423,True
-16.016483,61,1.359159,7.779217120155887,True
-29.41532,80,1.369837,46.5990915025585,False
9.362288,24,1.37322,7.32069402686756,True
-24.730381,80,1.38407,30.34396062416098,False
6.336666,30,1.388297,6.708154251030613,True
-25.461963,80,1.403212,17.01634647880871,False
-32.093672,80,1.480206,36.20390987955894,False
9.843547,21,1.483258,7.763428031262813,True
-2.650122,39,1.488646,4.276464860922582,True
6.180417,32,1.493073,5.449324728888096,True
11.595373,9,1.494389,6.013696849771937,True
12.858899,2,1.494754,4.9396271977672725,True
5.66942,26,1.498346,7.76423167850708,True
-27.566211,80,1.509161,18.31145908081369,False
15.527958,4,1.509874,4.755476305509657,True
10.045645,12,1.51162,7.685031348851993,True
11.897938,16,1.513878,7.0446681425541255,True
7.104126,34,1.518536,6.826736076242213,True
7.747879,34,1.523192,5.226252571331342,True
11.427957,10,1.524642,6.908742351018299,True
8.114906,19,1.527318,5.574831353779739,True
11.865084,15,1.529468,6.781740822618138,True
12.776376,7,1.530523,6.701652432219468,True
7.253066,29,1.53456,7.206138484362615,True
11.011243,15,1.536736,2.3466791661512345,True
-3.626536,61,1.545026,5.32552471552057,True
9.65122,14,1.547025,7.703567125324354,True
3.247491,32,1.551435,3.5947761326650935,True
1.486132,46,1.557714,4.879754849880932,True
-24.026571,80,1.56855,26.134602994245387,False
11.415875,10,1.570078,7.04150105023621,True
8.433803,23,1.573299,6.570597169463071,True
5.689638,30,1.577456,7.878742020702843,True
10.684601,14,1.579459,7.5328697536368985,True
-4.252795,57,1.587193,5.798420820708292,True
12.774422,5,1.587976,6.015628167833644,True
11.81757,6,1.588876,5.477469671805695,True
10.131503,18,1.591392,5.6030663401987635,True
12.030188,12,1.593096,6.569745778769583,True
0.386563,55,1.600553,4.092327269686656,True
-7.797757,67,1.609657,7.858723260362139,True
5.133659,36,1.614589,4.990984489121438,True
14.422366,8,1.615774,4.622096882938412,True
13.037817,7,1.616811,6.790350828151865,True
11.464474,11,1.61837,7.039094698835272,True
12.328401,9,1.684707,5.911392375191312,True
9.11003,28,1.688683,4.207010725864021,True
5.240645,31,1.692961,6.130474886969141,True
11.687968,8,1.69414,7.461079881394354,True
13.137097,13,1.696014,5.042098758160707,True
-30.990913,80,1.706827,40.61002422787128,False
7.712114,29,1.710893,6.825140614147917,True
6.837116,23,1.714078,4.596534945577883,True
10.566725,10,1.715524,4.395155996797947,True
-23.582031,80,1.72634,26.157795199072595,False
9.881305,17,1.728805,7.807475445965899,True
13.29582,10,1.730265,7.4463926675866725,True
9.8889,18,1.73279,7.572377755931893,True
12.191267,13,1.73466,6.510924018998601,True
5.17756,30,1.73883,5.232229673056444,True
13.350736,4,1.739463,5.331733274511338,True
10.281162,15,1.741572,7.7559453223536385,True
12.838909,10,1.74302,6.742596344500197,True
12.375116,12,1.744762,6.509066314812563,True
11.044649,14,1.746747,5.579222960133407,True
8.291688,24,1.75007,6.171303222986843,True
6.576579,32,1.754452,7.579396885975321,True
13.740734,6,1.755365,5.912703348528784,True
-8.459765,70,1.764824,6.736406869708771,True
11.114815,14,1.766826,7.41673647267369,True
8.200572,20,1.769594,4.693205385323076,True
10.091529,26,1.773172,6.723083515400334,True
-3.194039,66,1.782092,3.6827722655532447,True
