step,t,target_x_mm,target_y_mm,target_z_mm,j1,j2,j3,j4,j5,j6,fk_x_mm,fk_y_mm,fk_z_mm,error_mm,max_joint_step_deg,status
0,0.0000,-0.020,-141.920,239.700,0.000,0.000,-0.000,0.000,0.000,-0.000,-0.020,-141.920,239.700,0.000,0.000,OK
1,0.0217,1.067,-141.268,240.461,0.023,-0.027,0.017,-0.000,-0.007,-0.000,0.038,-141.850,239.818,1.346,0.027,OK
2,0.0435,2.154,-140.616,241.222,0.380,-0.316,0.179,0.000,-0.077,-0.000,0.917,-141.097,241.020,1.343,0.357,OK
3,0.0652,3.241,-139.963,241.983,0.802,-0.560,0.291,0.001,-0.119,-0.000,1.945,-140.458,241.950,1.387,0.421,OK
4,0.0870,4.328,-139.311,242.743,1.262,-0.797,0.382,0.001,-0.150,-0.000,3.061,-139.830,242.794,1.370,0.461,OK
5,0.1087,5.415,-138.659,243.504,1.718,-1.026,0.463,0.002,-0.175,-0.000,4.156,-139.211,243.585,1.377,0.456,OK
6,0.1304,6.502,-138.007,244.265,2.174,-1.256,0.540,0.003,-0.198,-0.000,5.241,-138.582,244.360,1.389,0.456,OK
7,0.1522,7.589,-137.355,245.026,2.631,-1.484,0.616,0.004,-0.220,-0.000,6.319,-137.942,245.127,1.403,0.457,OK
8,0.1739,8.676,-136.703,245.787,3.091,-1.711,0.692,0.005,-0.242,-0.000,7.394,-137.294,245.888,1.415,0.460,OK
9,0.1957,9.763,-136.050,246.548,3.554,-1.935,0.769,0.006,-0.266,-0.000,8.466,-136.638,246.644,1.426,0.463,OK
10,0.2174,10.850,-135.398,247.309,4.048,-2.164,0.848,0.007,-0.290,-0.000,9.601,-135.952,247.413,1.370,0.494,OK
11,0.2391,11.937,-134.746,248.070,4.506,-2.377,0.927,0.008,-0.316,-0.000,10.642,-135.300,248.144,1.410,0.458,OK
12,0.2609,13.023,-134.094,248.830,5.001,-2.596,1.011,0.010,-0.344,-0.000,11.758,-134.609,248.904,1.368,0.495,OK
13,0.2826,14.110,-133.442,249.591,5.463,-2.798,1.096,0.011,-0.375,-0.000,12.790,-133.951,249.629,1.416,0.462,OK
14,0.3043,15.197,-132.790,250.352,5.963,-3.006,1.189,0.013,-0.410,-0.000,13.900,-133.256,250.385,1.379,0.501,OK
15,0.3261,16.284,-132.137,251.113,6.460,-3.204,1.283,0.015,-0.447,-0.000,14.990,-132.571,251.124,1.365,0.496,OK
16,0.3478,17.371,-131.485,251.874,6.955,-3.395,1.381,0.018,-0.488,-0.000,16.068,-131.888,251.859,1.364,0.495,OK
17,0.3696,18.458,-130.833,252.635,7.452,-3.579,1.485,0.020,-0.533,-0.000,17.141,-131.206,252.593,1.370,0.497,OK
18,0.3913,19.545,-130.181,253.396,7.951,-3.757,1.593,0.023,-0.581,-0.000,18.210,-130.524,253.326,1.381,0.499,OK
19,0.4130,20.632,-129.529,254.157,8.453,-3.927,1.706,0.026,-0.633,-0.000,19.276,-129.841,254.058,1.395,0.502,OK
20,0.4348,21.719,-128.877,254.917,8.959,-4.091,1.824,0.029,-0.689,-0.000,20.341,-129.159,254.789,1.412,0.506,OK
21,0.4565,22.806,-128.224,255.678,9.495,-4.251,1.950,0.033,-0.751,-0.000,21.466,-128.457,255.536,1.368,0.537,OK
22,0.4783,23.893,-127.572,256.439,9.996,-4.397,2.076,0.037,-0.814,-0.000,22.503,-127.789,256.251,1.420,0.500,OK
23,0.5000,24.980,-126.920,257.200,10.533,-4.542,2.212,0.041,-0.884,-0.000,23.610,-127.091,256.994,1.396,0.537,OK
24,0.5217,26.067,-126.268,257.961,11.064,-4.675,2.352,0.046,-0.957,-0.000,24.698,-126.406,257.725,1.396,0.531,OK
