step,t,target_x_mm,target_y_mm,target_z_mm,j1,j2,j3,j4,j5,j6,fk_x_mm,fk_y_mm,fk_z_mm,error_mm,max_joint_step_deg,status
0,0.0000,-0.840,-179.530,181.110,-0.260,20.390,-0.260,0.000,0.090,-0.000,-0.835,-179.531,181.112,0.005,0.000,OK
1,0.0233,0.323,-178.949,181.808,-0.230,20.366,-0.249,-0.000,0.086,-0.000,-0.740,-179.507,181.218,1.338,0.030,OK
2,0.0465,1.486,-178.367,182.505,0.151,20.109,-0.166,-0.000,0.063,-0.000,0.451,-179.217,182.255,1.362,0.380,OK
3,0.0698,2.648,-177.786,183.203,0.579,19.842,-0.138,-0.000,0.075,-0.000,1.786,-178.857,183.147,1.376,0.428,OK
4,0.0930,3.811,-177.204,183.901,0.997,19.566,-0.149,-0.001,0.113,-0.000,3.084,-178.443,183.935,1.437,0.418,OK
5,0.1163,4.974,-176.623,184.598,1.425,19.258,-0.195,-0.001,0.177,-0.000,4.405,-177.945,184.703,1.443,0.428,OK
6,0.1395,6.137,-176.042,185.296,1.835,18.937,-0.263,-0.002,0.255,-0.000,5.663,-177.403,185.434,1.448,0.410,OK
7,0.1628,7.300,-175.460,185.994,2.239,18.605,-0.345,-0.002,0.345,-0.000,6.894,-176.823,186.153,1.430,0.404,OK
8,0.1860,8.462,-174.879,186.691,2.619,18.288,-0.419,-0.003,0.428,-0.000,8.041,-176.261,186.847,1.454,0.379,OK
9,0.2093,9.625,-174.297,187.389,3.005,17.968,-0.493,-0.005,0.510,-0.000,9.201,-175.686,187.548,1.460,0.386,OK
10,0.2326,10.788,-173.716,188.087,3.394,17.649,-0.565,-0.006,0.592,-0.000,10.365,-175.100,188.249,1.456,0.390,OK
11,0.2558,11.951,-173.135,188.784,3.786,17.331,-0.635,-0.008,0.673,-0.000,11.529,-174.506,188.949,1.444,0.392,OK
12,0.2791,13.113,-172.553,189.482,4.181,17.015,-0.703,-0.010,0.752,-0.000,12.694,-173.907,189.647,1.427,0.395,OK
13,0.3023,14.276,-171.972,190.180,4.564,16.716,-0.759,-0.012,0.823,-0.000,13.816,-173.330,190.334,1.442,0.383,OK
14,0.3256,15.439,-171.390,190.877,4.958,16.415,-0.812,-0.015,0.891,-0.000,14.967,-172.740,191.032,1.438,0.394,OK
15,0.3488,16.602,-170.809,191.575,5.358,16.116,-0.862,-0.017,0.958,-0.000,16.126,-172.143,191.730,1.425,0.400,OK
16,0.3721,17.765,-170.228,192.273,5.745,15.832,-0.902,-0.020,1.016,-0.000,17.241,-171.569,192.414,1.447,0.387,OK
17,0.3953,18.927,-169.646,192.970,6.144,15.547,-0.939,-0.023,1.073,-0.000,18.386,-170.981,193.111,1.447,0.399,OK
18,0.4186,20.090,-169.065,193.668,6.550,15.264,-0.973,-0.026,1.128,-0.000,19.543,-170.385,193.808,1.436,0.405,OK
19,0.4419,21.253,-168.483,194.366,6.958,14.984,-1.004,-0.030,1.180,-0.000,20.702,-169.782,194.505,1.418,0.409,OK
20,0.4651,22.416,-167.902,195.063,7.351,14.720,-1.025,-0.033,1.225,-0.000,21.809,-169.207,195.184,1.444,0.392,OK
21,0.4884,23.579,-167.321,195.761,7.757,14.455,-1.042,-0.037,1.268,-0.000,22.949,-168.616,195.879,1.445,0.406,OK
22,0.5116,24.741,-166.739,196.459,8.169,14.192,-1.056,-0.041,1.308,-0.000,24.100,-168.016,196.574,1.433,0.413,OK
23,0.5349,25.904,-166.158,197.157,8.586,13.932,-1.068,-0.045,1.346,-0.000,25.257,-167.411,197.270,1.415,0.416,OK
24,0.5581,27.067,-165.577,197.854,9.005,13.675,-1.075,-0.049,1.382,-0.000,26.414,-166.801,197.963,1.392,0.419,OK
25,0.5814,28.230,-164.995,198.552,9.404,13.436,-1.074,-0.054,1.410,-0.000,27.510,-166.222,198.636,1.425,0.399,OK
26,0.6047,29.393,-164.414,199.250,9.817,13.195,-1.068,-0.058,1.435,-0.000,28.641,-165.626,199.327,1.429,0.413,OK
27,0.6279,30.555,-163.832,199.947,10.238,12.957,-1.059,-0.063,1.458,-0.000,29.787,-165.022,200.019,1.418,0.421,OK
