row_id,link_name,occurrence_name,full_path_name,component_name,mesh_file,status
occ_012,linkE,DC11_B01_CASE_B_DUMMY2:1,XC-430_idle:1+DC11_B01_CASE_B_DUMMY2:1,DC11_B01_CASE_B_DUMMY2,XC-430_idle_1_DC11_B01_CASE_B_DUMMY2_1.stl,exported
occ_011,linkE,DC11_B01_CASE_F_DUMMY:1,XC-430_idle:1+DC11_B01_CASE_F_DUMMY:1,DC11_B01_CASE_F_DUMMY,XC-430_idle_1_DC11_B01_CASE_F_DUMMY_1.stl,exported
occ_010,linkE,DC11_B01_CASE_M_DUMMY:1,XC-430_idle:1+DC11_B01_CASE_M_DUMMY:1,DC11_B01_CASE_M_DUMMY,XC-430_idle_1_DC11_B01_CASE_M_DUMMY_1.stl,exported
occ_020,linkE,M_DC11_A01_HORN:1,XC-430_idle:1+M_DC11_A01_HORN_ASM:1+M_DC11_A01_HORN:1,M_DC11_A01_HORN,XC-430_idle_1_M_DC11_A01_HORN_ASM_1_M_DC11_A01_HORN_1.stl,exported
occ_027,linkF,DC11_B01_CASE_B_DUMMY2:1,XC-430_idle:2+DC11_B01_CASE_B_DUMMY2:1,DC11_B01_CASE_B_DUMMY2,XC-430_idle_2_DC11_B01_CASE_B_DUMMY2_1.stl,exported
occ_026,linkF,DC11_B01_CASE_F_DUMMY:1,XC-430_idle:2+DC11_B01_CASE_F_DUMMY:1,DC11_B01_CASE_F_DUMMY,XC-430_idle_2_DC11_B01_CASE_F_DUMMY_1.stl,exported
occ_025,linkF,DC11_B01_CASE_M_DUMMY:1,XC-430_idle:2+DC11_B01_CASE_M_DUMMY:1,DC11_B01_CASE_M_DUMMY,XC-430_idle_2_DC11_B01_CASE_M_DUMMY_1.stl,exported
occ_035,linkG,M_DC11_A01_HORN:1,XC-430_idle:2+M_DC11_A01_HORN_ASM:1+M_DC11_A01_HORN:1,M_DC11_A01_HORN,XC-430_idle_2_M_DC11_A01_HORN_ASM_1_M_DC11_A01_HORN_1.stl,exported
occ_001,linkA,DUMMY_DC12:1,"XM,H-430_idler:1+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_1_DUMMY_DC12_1.stl,exported
occ_005,linkB,DUMMY_DC12:1,"XM,H-430_idler:2+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_2_DUMMY_DC12_1.stl,exported
occ_040,linkC,DUMMY_DC12:1,"XM,H-430_idler:3+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_3_DUMMY_DC12_1.stl,exported
occ_044,linkD,DUMMY_DC12:1,"XM,H-430_idler:4+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_4_DUMMY_DC12_1.stl,exported
occ_023,linkF,arm_hand_v2:1,arm_hand_v2:1,arm_hand_v2,arm_hand_v2_1.stl,exported
occ_043,linkD,arm_hand_v2:2,arm_hand_v2:2,arm_hand_v2,arm_hand_v2_2.stl,exported
occ_038,linkC,arm_part1_v2:1,arm_part1_v2:1,arm_part1_v2,arm_part1_v2_1.stl,exported
occ_000,linkA,arm_plate_v2:1,arm_plate_v2:1,arm_plate_v2,arm_plate_v2_1.stl,exported
occ_003,linkB,arm_thrustA:1,arm_thrustA:1,arm_thrustA,arm_thrustA_1.stl,exported
occ_008,linkE,arm_thrustB:1,arm_thrustB:1,arm_thrustB,arm_thrustB_1.stl,exported
occ_046,linkD,arm_thrustD:1,arm_thrustD:1,arm_thrustD,arm_thrustD_1.stl,exported
occ_007,linkC,fr12_h101_k:1,fr12_h101_k:1,fr12_h101_k,fr12_h101_k_1.stl,exported
occ_042,linkD,fr12_h101_k:1,fr12_h101_k:1,fr12_h101_k,fr12_h101_k_1.stl,exported
occ_024,linkF,fr12_h101_k:3,fr12_h101_k:3,fr12_h101_k,fr12_h101_k_3.stl,exported
occ_004,linkB,fr12_s102_k:1,fr12_s102_k:1,fr12_s102_k,fr12_s102_k_1.stl,exported
occ_039,linkC,fr12_s102_k:1,fr12_s102_k:1,fr12_s102_k,fr12_s102_k_1.stl,exported
occ_009,linkE,fr12_s102_k:2,fr12_s102_k:2,fr12_s102_k,fr12_s102_k_2.stl,exported
